スキル名,アイコン,タイプ,コスト,CD,スキル所持,説明,min,max,range,square,squareR,rect,line,lineR,low,high,rowRange,highRange,comment,exception
狩猟の時,./img/skillIMG/狩猟の時.png,専用EX;パッシブ,-,-,イギー,パッシブ：Lv.3効果、ブロックを無視する。スキル狩りの準備の効果の持続ターン+1。 狩りの準備を所持している時、クリティカル発生率、クリダメ+15%。さらに、アクティブ攻撃後、3マス再移動できる。<br>パッシブ：Lv.2効果、ブロックを無視する。スキル狩りの準備の効果の持続ターン+1。 狩りの準備を所持している時、クリダメ+15%。<br>パッシブ：Lv.1効果、ブロックを無視する。スキル狩りの準備の効果の持続ターン+1。 狩りの準備を所持している時、クリダメ+10%。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
烈意の重撃,./img/skillIMG/烈意の重撃.png,専用EX;パッシブ,-,-,ミゲル,パッシブ：Lv.3効果、物攻+20%。範囲攻撃時、パネルを燃焼に変える。2ターン継続する。<br>パッシブ：Lv.2効果、物攻+10%。範囲攻撃時、パネルを燃焼に変える。2ターン継続する。<br>パッシブ：Lv.1効果、物攻+10%。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
磐石の如し不動の体,./img/skillIMG/磐石の如し不動の体.png,汎用EX;パッシブ,-,-,ルトフィ;ニーティア;アフラ;コヴァレ;ターイル;ナルギル;レオニード;イナンナ;騎士連合・剣盾兵;法皇国・剣盾兵;法皇国・氷の術師,パッシブ：Lv.3効果、HP+15%、被貫通ダメージ-20%。<br>パッシブ：Lv.2効果、HP+10%、被貫通ダメージ-20%。<br>パッシブ：Lv.1効果、HP+10%、被貫通ダメージ-10%。<br>必要素材：「誓約の証」,,,,,,,,,,,,,,
自由な鋭敏,./img/skillIMG/自由な鋭敏.png,汎用EX;パッシブ,-,-,アイサ;ダンタリオン;サマンサ;王国の槍「烈嘯」;鷹の目;深淵の心;エンフォーサー;無法者・長槍兵,パッシブ：Lv.3効果、自身の受けたデバフが2個未満の時、ダメージ+12%、被ダメージ-12%。<br>パッシブ：Lv.2効果、自身の受けたデバフが2個未満の時、ダメージ+8%、被ダメージ-8%。<br>パッシブ：Lv.1効果、自身の受けたデバフが2個未満の時、ダメージ+4%、被ダメージ-4%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
全盛態勢,./img/skillIMG/全盛態勢.png,汎用EX;パッシブ,-,-,流星団;アガタ;サフィア;テンペスト;騎士連合・長槍兵;ウィルダ・斥候,パッシブ：Lv.3効果、 無傷状態の時、ダメージ+12%、被ダメージ-12%。<br>パッシブ：Lv.2効果、 無傷状態の時、ダメージ+8%、被ダメージ-8%。<br>パッシブ：Lv.1効果、 無傷状態の時、ダメージ+4%、被ダメージ-4%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
剛勇破陣の道,./img/skillIMG/剛勇破陣の道.png,汎用EX;パッシブ,-,-,フラビア;ハスナ;ヌンガル;ノノヴィア;恩寵の閃光;炎の魔女;傭兵・刺客,パッシブ：Lv.3効果、攻撃力+5%。健康状態の敵を攻撃する時、ダメージ+15%。<br>パッシブ：Lv.2効果、攻撃力+5%。健康状態の敵を攻撃する時、ダメージ+10%。<br>パッシブ：Lv.1効果、健康状態の敵を攻撃する時、ダメージ+10%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
不滅の庇護の願い,./img/skillIMG/不滅の庇護の願い.png,汎用EX;パッシブ,-,-,エストラ;トリスタ;ココア;軍医「口苦し」;狙撃教官「鋭い一閃」;静謐の戒め;癒しの手;輝ける慈愛;王国軍・剣盾兵,パッシブ：Lv.3効果、魔防+20%、被魔法ダメージ-20%。<br>パッシブ：Lv.2効果、魔防+20%、被魔法ダメージ-10%。<br>パッシブ：Lv.1効果、魔防+10%、被魔法ダメージ-10%。<br>必要素材：「誓約の証」,,,,,,,,,,,,,,
火力打撃の道,./img/skillIMG/火力打撃の道.png,汎用EX;パッシブ,-,-,ルヴァタ;ザビエル;ベラ;ナイトレイヴン;破断の旋風;王国軍・火の術師,パッシブ：Lv.3効果、攻撃力+5%。1つのターゲットに命中するごとに、ダメージ+8%、最大24%。<br>パッシブ：Lv.2効果、攻撃力+5%。1つのターゲットに命中するごとに、ダメージ+4%、最大12%。<br>パッシブ：Lv.1効果、1つのターゲットに命中するごとに、ダメージ+4%、最大12%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
戮力協心,./img/skillIMG/戮力協心.png,汎用EX;パッシブ,-,-,サフィア・夏時の約束;リラ;アカンベ;キャンドル;王国軍・長槍兵;王国軍・光の術師,パッシブ：Lv.3効果、自身範囲3マス以内に3人以上の味方がいる時、ダメージ+12%、被ダメージ-12%。<br>パッシブ：Lv.2効果、自身範囲3マス以内に3人以上の味方がいる時、ダメージ+8%、被ダメージ-8%。<br>パッシブ：Lv.1効果、自身範囲3マス以内に3人以上の味方がいる時、ダメージ+4%、被ダメージ-4%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
砕けぬ鋼鉄の意志,./img/skillIMG/砕けぬ鋼鉄の意志.png,汎用EX;パッシブ,-,-,パミーナ;マグナス;ティードン;マイサ;ライトニング;闇の光・氷術師;傭兵・剣盾兵;無法者・斧盾兵,パッシブ：Lv.3効果、物防+20%、被物理ダメージ-20%。<br>パッシブ：Lv.2効果、物防+20%、被物理ダメージ-10%。<br>パッシブ：Lv.1効果、物防+10%、被物理ダメージ-10%。<br>必要素材：「誓約の証」,,,,,,,,,,,,,,
戦陣の豪壮,./img/skillIMG/戦陣の豪壮.png,汎用EX;パッシブ,-,-,ラヴィア・初夏の記憶;オーギュスト;ミゲル;マイティ;スティンガー,パッシブ：Lv.3効果、自身範囲2マス以内に2体以上の敵がいる時、ダメージ+12%、被ダメージ-12%。<br>パッシブ：Lv.2効果、自身範囲2マス以内に2体以上の敵がいる時、ダメージ+8%、被ダメージ-8%。<br>パッシブ：Lv.1効果、自身範囲2マス以内に2体以上の敵がいる時、ダメージ+4%、被ダメージ-4%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
高所制圧の道,./img/skillIMG/高所制圧の道.png,汎用EX;パッシブ,-,-,ホーマ;イギー;リリヴィア;傭兵・弓兵;無法者・弓兵,パッシブ：Lv.3効果、攻撃力+5%。高地攻撃時、ダメージ+20%。<br>パッシブ：Lv.2効果、攻撃力+5%。高地攻撃時、ダメージ+10%。<br>パッシブ：Lv.1効果、高地攻撃時、ダメージ+10%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
蓄力強襲,./img/skillIMG/蓄力強襲.png,汎用EX;パッシブ,-,-,カリス;ファカール;グロリア;閃く刃;フレア;胡蝶;法皇国・投槍兵,パッシブ：Lv.3効果、自身が4個以上のバフを所持している時、ダメージ+12%、被ダメージ-12%。<br>パッシブ：Lv.2効果、自身が4個以上のバフを所持している時、ダメージ+8%、被ダメージ-8%。<br>パッシブ：Lv.1効果、自身が4個以上のバフを所持している時、ダメージ+4%、被ダメージ-4%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
相性勝利の道,./img/skillIMG/相性勝利の道.png,汎用EX;パッシブ,-,-,シモーナ;ガルシア;バリスタ;紅のハヤブサ;王国軍・弓兵,パッシブ：Lv.3効果、攻撃力+5%。有利ロールの敵を攻撃する時、ダメージ+20%。<br>パッシブ：Lv.2効果、攻撃力+5%。有利ロールの敵を攻撃する時、ダメージ+10%。<br>パッシブ：Lv.1効果、有利ロールの敵を攻撃する時、ダメージ+10%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
機動援助の道,./img/skillIMG/機動援助の道.png,汎用EX;パッシブ,-,-,エダ;モモ;アレクセイ,パッシブ：Lv.3効果、攻撃力+5%。自身のターン以外の時のダメージ+20%。<br>パッシブ：Lv.2効果、攻撃力+5%。自身のターン以外の時のダメージ+10%。<br>パッシブ：Lv.1効果、自身のターン以外の時のダメージ+10%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
暗影奇襲の道,./img/skillIMG/暗影奇襲の道.png,汎用EX;パッシブ,-,-,コル;無法者・刺客;無法者・弩兵,パッシブ：Lv.3効果、攻撃力+5%。背面攻撃時、追加ダメージ+20%。<br>パッシブ：Lv.2効果、攻撃力+5%。背面攻撃時、追加ダメージ+10%。<br>パッシブ：Lv.1効果、背面攻撃時、追加ダメージ+10%。<br>必要素材：「開拓の証」,,,,,,,,,,,,,,
逆境奮迅,./img/skillIMG/逆境奮迅.png,汎用EX;パッシブ,-,-,グズマン;ラヴィア;輝ける光の鞭;闇の光・火の術師;傭兵・長槍兵;無法者・巨斧兵,パッシブ：Lv.3効果、負傷状態の時、ダメージ+15%、被ダメージ-15%。<br>パッシブ：Lv.2効果、負傷状態の時、ダメージ+10%、被ダメージ-10%。<br>パッシブ：Lv.1効果、負傷状態の時、ダメージ+5%、被ダメージ-5%。<br>必要素材：「勇気の証」,,,,,,,,,,,,,,
斬撃,./img/skillIMG/斬撃.png,通常攻撃;物理ダメージ,-,-,ルトフィ;アイサ;流星団;サフィア・夏時の約束;リラ;トリスタ;パミーナ;ラヴィア・初夏の記憶;ココア;オーギュスト;ナルギル;レオニード;イギー;マグナス;ガルシア;アレクセイ;ティードン;グズマン;ダンタリオン;ザビエル;マイサ;サフィア;グロリア;王国の槍「烈嘯」;ライトニング;フレア;マイティ;エンフォーサー;破断の旋風;静謐の戒め;テンペスト;胡蝶;王国軍・剣盾兵;王国軍・長槍兵;騎士連合・剣盾兵;騎士連合・長槍兵;法皇国・剣盾兵;法皇国・投槍兵;傭兵・剣盾兵;傭兵・長槍兵;無法者・斧盾兵;無法者・巨斧兵;無法者・長槍兵,通常攻撃：100%の物理ダメージを与える。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
戦は偽りを厭わない,./img/skillIMG/戦は偽りを厭わない.png,支援,3,-,ルトフィ,支援：戦は偽りを厭わないを獲得し、1ターン継続する。,,,,,,,,,,,,,対ユニット,
極限凶刃,./img/skillIMG/極限凶刃.png,物理ダメージ,3,-,ルトフィ,物理ダメージ：単体攻撃。150%のダメージを与える。ターゲットが負傷状態の場合、攻撃時、追加でクリティカル発生率・クリダメ+30%、援護防御を無視する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
ボディガードを召喚する,./img/skillIMG/ボディガードを召喚する.png,支援,3,2,ルトフィ,支援：1人の用心棒を召喚する。最大で同時に1体存在でき、毎回戦闘で最大2回使用できる。,1,1,-1,,,,,,8,8,,,対地面,
盤上無双,./img/skillIMG/盤上無双.png,オーラ,-,-,ルトフィ,オーラ：自身範囲3マス以内のすべての味方のクリティカル発生率+20%、クリダメ+10%。,,,,,,,,,,,,,,
離間,./img/skillIMG/離間.png,パッシブ,-,-,ルトフィ,パッシブ：行動終了時、自身範囲3マス以内のランダムな敵3体を強制的に選択し、✗援護、▽攻撃Lv.2、虚弱Lv.3を付与し、2ターン継続する。,,,,,,,,,,,,,,
EN回復,./img/skillIMG/EN回復.png,リアクション,-,-,ルトフィ;カリス;ノノヴィア;テンペスト;キャンドル,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>アクティブ攻撃を受けた後、追加で1ptのENを回復する。,,,,,,,,,,,,,,
乱心,./img/skillIMG/乱心.png,リアクション,-,-,ルトフィ,リアクション：行動終了時、今回の行動でダメージを与えていない場合、自身範囲3マス以内のランダムな敵3体にランダムなLv.2能力値デバフ1個と物攻値40%のHP流失を付与し、2ターン継続する。,,,,,,,,,,,,,,
波乱の幕開け,./img/skillIMG/波乱の幕開け.png,陣営オーラ,-,-,ルトフィ,陣営オーラ： フィールド上の陣営が<疾走如風>のすべての味方ユニットは、攻撃力+10%、防御力+20%。アクティブ攻撃、支援またはデバフスキル発動時、敵が3個以上のデバフを所持している場合、自身の攻撃力+18%、機略縦横を獲得し、1ターン継続する。,,,,,,,,,,,,,,
デコイ,./img/skillIMG/デコイ.png,デバフ,-,-,ルトフィ,デバフ：自身範囲3マス以内のすべての敵を周囲に集め、▽移動Lv.2、✗アクティブスキルを付与し、1ターン継続する。さらに自身はデコイを獲得し、3ターン継続する。効果終了時、画策中を付与され、3ターン継続する。,1,2,3,,,,,,,,2,2,対地面,
ディスカバードチェック,./img/skillIMG/ディスカバードチェック.png,通常攻撃;物理ダメージ,-,-,ルトフィ,通常攻撃：単体攻撃。100%の物理ダメージを与え、ランダムなLv.2能力値デバフ2個を付与し、2ターン継続する。その間敵が攻撃をした場合、回避を発動し、さらに追撃し、40%の物理ダメージを与え、自身は1マス後退する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
暗棋,./img/skillIMG/暗棋.png,通常攻撃;デバフ,-,-,ルトフィ,通常攻撃・デバフ：敵から3個のバフを盗み、ランダムなLv.2能力値デバフ1個と物攻値80%のHP流失を付与し、2ターン継続する。,1,2,-1,,,,,,2,2,,,対ユニット,
チェックメイト,./img/skillIMG/チェックメイト.png,物理ダメージ,4,-,ルトフィ,物理ダメージ：敵の背後に瞬間移動し、ターゲット範囲2マス以内のランダムな敵に4回の100%の範囲ダメージを与える。同じターゲットを重複攻撃する場合、そのターゲットへのダメージ-50%。攻撃前、追加でクリティカル発生率、クリダメ+50%。攻撃後、自身に画策中を付与され、3ターン継続する。,1,2,2,,,,,,2,2,2,2,対ユニット,
破局の焔,./img/skillIMG/破局の焔.png,デバフ,3,0,ルトフィ,デバフ：ターゲット地点1輪以内のすべての敵に2スタックの着火を付与し、パネルを燃焼に変える。すべての効果は2ターン継続する。,1,3,1,,1,,,,8,6,2,2,対地面,
曲射,./img/skillIMG/曲射.png,通常攻撃;物理ダメージ,-,-,ニーティア;ファカール;リリヴィア;鷹の目;王国軍・弓兵;傭兵・弓兵;無法者・弓兵,通常攻撃：85%の物理ダメージを与える。<br>曲射,2,3,0,,,,,,8,6,,,遠距離;対ユニット,
太陽を遮る黒羽,./img/skillIMG/太陽を遮る黒羽.png,支援;即時,1,1,ニーティア,支援：即時、太陽を遮る黒羽を獲得。<br>効果：維持状態時、EN1ptを消費する。<br>黒羽散華の効果範囲が1マス拡大する。<br>通常攻撃時、追加で1回黒羽散華を強制的に発動する。,,,0,,,,,,,,,,対ユニット,
騎士の栄光・氷,./img/skillIMG/騎士の栄光・氷.png,支援;即時,-,4,ニーティア,支援：即時、ターゲットに△攻撃Lv.2を付与する。<br>3ターン継続する。<br>ターゲットが〈騎士連合〉陣営の時、追加で氷の鎧を獲得する。<br>3ターン継続する。,0,2,-1,,,,,,8,6,,,対ユニット,
洞察,./img/skillIMG/洞察.png,パッシブ,-,-,ニーティア;騎士連合・長槍兵;法皇国・投槍兵,パッシブ：物攻+8%。<br>攻撃前、ターゲットの1個の防御能力値バフを解除する。,,,,,,,,,,,,,,
凍結罠,./img/skillIMG/凍結罠.png,支援;即時,-,4,ニーティア,支援：即時、凍結罠を1個設置する。,1,2,-1,,,,,,2,2,,,対地面,
準備万端,./img/skillIMG/準備万端.png,パッシブ,-,-,ニーティア,パッシブ：無傷状態の時、クリティカル発生率+20%、クリダメ+10%。,,,,,,,,,,,,,,
厳冬の庇護,./img/skillIMG/厳冬の庇護.png,リアクション,-,-,ニーティア,リアクション：▽移動または▽素早さを所持している敵を攻撃した時、氷の鎧を獲得する。<br>2ターン継続する、1ターンで最大1回発動する。<br>▽移動または▽素早さを所持している敵からアクティブ攻撃を受けた時、被ダメージ-30%。,,,,,,,,,,,,,,
告死鳥の翼,./img/skillIMG/告死鳥の翼.png,リアクション,-,-,ニーティア,リアクション：被範囲ダメージ-40%。<br>任意の維持効果中、移動力+1マス。,,,,,,,,,,,,,,
告死鳥の目,./img/skillIMG/告死鳥の目.png,パッシブ,-,-,ニーティア,パッシブ：黒羽散華発動時、追加で1回凍傷と▽移動Lv.1を付与する。<br>1ターン継続する。<br>各ターゲットに1ターンで1回まで有効。,,,,,,,,,,,,,,
死亡宣告,./img/skillIMG/死亡宣告.png,支援;即時,-,5,ニーティア,支援：即時、ターゲット範囲3マス以内のすべての敵に黒羽を付与する。<br>2ターン継続する。<br>ターゲットからEN1ptと2個のバフを奪う。<br>スキル発動後、自身は△ダメージLv.2、氷の鎧、死亡宣告を獲得する。<br>すべての効果は2ターン継続する。,0,3,3,,,,,,8,8,8,8,対地面,
氷結の矢,./img/skillIMG/氷結の矢.png,通常攻撃;物理ダメージ,-,-,ニーティア,通常攻撃：単体攻撃、85%の物理ダメージを与え、▽移動Lv.1、▽素早さLv.1を付与する。<br>2ターン継続する。<br>攻撃方法は曲射。,2,3,0,,,,,,8,6,,,遠距離;対ユニット,
鳴撃,./img/skillIMG/鳴撃.png,通常攻撃;物理ダメージ,-,-,ニーティア,通常攻撃：単体攻撃、85%の物理ダメージを与える。<br>曲射アクティブ攻撃後、ターゲット十字3マス範囲内の1番目の敵を、ターゲット反対方向に1マスノックバックする。,2,3,-1,,,,,,8,8,,,遠距離;対ユニット,
極寒の息吹,./img/skillIMG/極寒の息吹.png,支援;即時,2,1,ニーティア,支援：即時、極寒の息吹を獲得する。<br>効果：維持状態の時、EN2ptを消費する。<br>スキルを発動した場合、敵に1回凍傷を付与し、1ターン継続する。<br>自身が物理シールドを所持し、かつターゲットが▽移動を受けている場合、追加で凍傷を1回付与する。<br>凍傷を付与する時は、1ターンで各ターゲットに最大1回発動する。,,,0,,,,,,,,,,対ユニット,
矢乱舞,./img/skillIMG/矢乱舞.png,支援;即時,2,1,ニーティア,支援：即時、矢乱舞を獲得する。<br>効果：維持状態時、EN2ptを消費する。<br>個性中の魔攻の加算割合が1.5倍になる。<br>アクティブ通常攻撃後、追加で通常攻撃射程内の最も近くにいるターゲットに通常攻撃を行う。<br>その時の追加の通常攻撃ダメージは10%にダウンする。,,,0,,,,,,,,,,対ユニット,
エネルギー波,./img/skillIMG/エネルギー波.png,通常攻撃;魔法ダメージ,-,-,アフラ;フラビア;ルヴァタ;コヴァレ;ハスナ;アカンベ;カリス;ターイル;シモーナ;モモ;イナンナ;ベラ;サマンサ;軍医「口苦し」;ナイトレイヴン;輝ける光の鞭;深淵の心;炎の魔女;癒しの手;輝ける慈愛;キャンドル;王国軍・火の術師;王国軍・光の術師;闇の光・火の術師;闇の光・氷術師;法皇国・氷の術師,通常攻撃：80%の魔法ダメージを与える。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
治療術,./img/skillIMG/治療術.png,回復,1,-,アフラ;ターイル;イナンナ;輝ける慈愛;王国軍・光の術師,回復：ターゲットを回復させる。<br>回復量は魔攻値の100%、ターゲットの1個のデバフを解除する。,1,2,0,,,,,,8,8,,,対ユニット,
幻夢の囁き,./img/skillIMG/幻夢の囁き.png,貫通ダメージ,2,2,アフラ,貫通ダメージ：単体攻撃。<br>魔攻値70%のダメージを与える。<br>攻撃前に夢魔、虚弱Lv.2および貫通虚弱Lv.2を付与する。<br>ターゲットが既に夢魔を所持していた場合、追加で迷い夢の回廊を付与する。<br>攻撃後さらに睡眠を付与する。<br>すべての効果は2ターン継続する。,1,3,-1,,,,,,8,8,,,対ユニット,
夢想の回響,./img/skillIMG/夢想の回響.png,パッシブ,-,-,アフラ,パッシブ：クラススキルのアクティブ発動、自身範囲3マス以内の味方全員を回復させ、回復量は魔攻値の20%に相当する。,,,,,,,,,,,,,,
スノーステップ,./img/skillIMG/スノーステップ.png,貫通ダメージ;即時,-,3,アフラ,貫通ダメージ：即時、子鹿に変身し、ターゲットパネルまでジャンプし、自身範囲2マス以内のすべての敵に魔攻値20%のダメージを与える。,2,3,2,,,,,,5,3,,,対地面,
夢占いゲーム,./img/skillIMG/夢占いゲーム.png,パッシブ,-,-,アフラ,パッシブ：行動開始時、1回夢占いスキルを発動し、EN+1pt。<br>占いスキルは夢入り、夢の煌めき、夢守りの順にループして発動する。,,,,,,,,,,,,,,
小鹿ダッシュ,./img/skillIMG/小鹿ダッシュ.png,リアクション,-,3,アフラ,リアクション：戦闘開始時、強力不屈を獲得し、発動時にHPの35%を回復する。<br>解除不可。<br>アクティブ攻撃を受ける時、被ダメージ-15%。<br>さらに子鹿に変身する。<br>CDは3ターン。,,,,,,,,,,,,,,
忍耐,./img/skillIMG/忍耐.png,リアクション,-,-,アフラ;癒しの手;王国軍・火の術師;王国軍・光の術師,リアクション：被持続ダメージ-50%。,,,,,,,,,,,,,,
幻夢の泡影,./img/skillIMG/幻夢の泡影.png,貫通ダメージ,3,3,アフラ,貫通ダメージ：ターゲット範囲3マス以内のすべての敵に魔攻値50%のダメージを与える。<br>攻撃前に夢魔、虚弱Lv.2と貫通虚弱Lv.2を付与する。<br>ターゲットがすでに夢魔を所持している場合、追加で迷い夢の回廊を付与し、すべての効果は2ターン継続する。<br>攻撃後に負傷状態またはすでに迷い夢の回廊を所持している敵に追加で睡眠を付与し、1ターン継続する。,1,3,3,,,,,,8,8,2,2,範囲攻撃;対ユニット,
復活の夢語り,./img/skillIMG/復活の夢語り.png,回復,2,-,アフラ,回復：単体回復。<br>回復量は自身魔攻値の80%、さらにターゲットに無垢なる夢を付与し、次の行動開始まで継続する。,0,3,-1,,,,,,8,8,,,対ユニット,
幻夢の預言,./img/skillIMG/幻夢の預言.png,通常攻撃;貫通ダメージ,-,-,アフラ,通常攻撃：単体攻撃。<br>魔攻値50%の貫通ダメージを与え、ランダムで1つLv.2デバフおよび夢魔を付与し、2ターン継続する。<br>攻撃後30%の確率で追加で睡眠を付与する。<br>ターゲットが既に負傷状態だった場合、睡眠は必ず付与され、1ターン継続する。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
仁心撃(魔法),./img/skillIMG/仁心撃(魔法).png,通常攻撃;魔法ダメージ,-,-,アフラ;ターイル;イナンナ;サマンサ;軍医「口苦し」;癒しの手;輝ける慈愛,通常攻撃：80%の魔法ダメージを与え、次回の回復効果+15%、2ターン継続する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
災厄のツンドラ,./img/skillIMG/災厄のツンドラ.png,貫通ダメージ,4,-,アフラ,貫通ダメージ：ターゲット範囲3マス以内のすべての敵に60%の氷属性範囲ダメージを与える。,1,2,3,,,,,,2,2,2,2,範囲攻撃;対ユニット,
癒しの光,./img/skillIMG/癒しの光.png,回復,2,-,アフラ;輝ける慈愛,回復：ターゲット範囲2マス以内の味方全員を30%回復させる。<br>回復量は魔攻値の60%、1個のデバフを解除する。,0,3,2,,,,,,8,8,2,2,対ユニット,
鹿鳴き,./img/skillIMG/鹿鳴き.png,貫通ダメージ,-,-,アフラ,単体攻撃。<br>魔攻値40%の貫通ダメージを与える。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
